 From Date, To Date,Alipur,Anand Vihar,Ashok Vihar,Aya Nagar,Bawana,Burari Crossing,CRRI Mathura Road,Chandni Chowk,DTU,Dr. Karni Singh Shooting Range,Dwarka-Sector 8,IGI Airport (T3),IHBAS  Dilshad Garden,ITO,Jahangirpuri,Jawaharlal Nehru Stadium,Lodhi Road,Lodhi Road IMD,Major Dhyan Chand National Stadium,Mandir Marg,Mundka,NSIT Dwarka,Najafgarh,Narela,Nehru Nagar,North Campus  DU,Okhla Phase-2,Patparganj,Punjabi Bagh,Pusa,Pusa,R K Puram,Rohini,Shadipur,Sirifort,Sonia Vihar,Sri Aurobindo Marg,Vivek Vihar,Wazirpur
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/10/2024 00:00,20/10/2024 00:00,175.62,192.8,130.61,92.66,158.55,154.28,None,,80.8,147.92,132.58,118.62,99.84,115.16,166.25,91.71,None,91.35,125.69,116.04,157.25,104.81,81.14,170.78,132.25,116.9,139.95,128.42,138.29,89.58,101.8,123.92,141.92,102.12,113.98,140,89.56,169.76,112.75
20/10/2024 00:00,21/10/2024 00:00,175.71,203.07,175.62,132.86,189.52,191.85,182.78,,82.89,134.67,152.04,139.44,100.2,129.53,200.68,104.25,None,114.61,134.59,133.16,180.83,116.41,121.3,162.04,161.21,138.46,138.79,147.88,166.63,107.96,121.89,172.83,190.71,130.64,137.67,174.71,117.96,167.07,187.45
21/10/2024 00:00,22/10/2024 00:00,150.29,188.37,178.75,146.1,180.02,178.07,148.25,,80.43,150.66,163.88,155.17,97.09,141.07,177.69,113.62,None,126.26,159.08,149.12,164.21,122.61,151.27,147.24,159.17,155.73,150.55,153.25,210.47,127.17,139.32,171.58,178.08,207.04,145.42,178.92,134.19,170.93,184.16
22/10/2024 00:00,23/10/2024 00:00,188.83,208.1,197.04,146.97,217.54,214.7,170.18,,97.62,161.19,170.96,159.8,102.64,159.38,232.33,118.12,None,126.76,172.54,155.15,200.71,140.05,159.98,172.67,177.58,158.91,160.59,172.71,186.58,127.4,133.41,171.22,208.71,90.61,150.2,207.93,133.86,219.33,204.96
23/10/2024 00:00,24/10/2024 00:00,221.33,172.33,193.12,198.32,252.29,251.72,202.16,,101.62,208.1,237.58,215.07,122.83,235.17,282.88,150.88,51.19,164.15,212.5,224.32,224.75,187.49,190.83,207.91,221.42,226.57,195.62,239,299.81,166.5,185.15,223.04,259.29,122.83,191.41,249.45,186.35,272.04,261.75
24/10/2024 00:00,25/10/2024 00:00,150.58,166.01,154.17,141.09,176.13,160.39,127.85,,70.34,141.62,154.17,139.71,93.41,129.53,171.04,102.75,76.46,111.77,147.62,147.48,160.58,139.78,148.24,127.4,148.29,132.66,127.04,144.96,107.25,118.6,118.52,196.17,165.96,129.19,137.07,159.75,130.64,162.58,150.54
25/10/2024 00:00,26/10/2024 00:00,141.88,160.44,140.96,102.09,144.22,168.49,109.12,,66.3,116.52,114.54,105.13,93.75,116.24,144.38,89.54,92.55,94.67,129.29,124.02,131.29,100.09,96.49,115.06,150.08,113.39,105.25,127.71,140.12,132.46,105.64,98.38,140.12,120.37,109.39,133.71,98.15,141.42,148.14
26/10/2024 00:00,27/10/2024 00:00,231.42,227.8,208.04,126.55,204.03,291.73,163.17,,97.53,142.97,148.75,135.12,110.68,178.75,220.5,116.75,118.48,122.28,178.08,166.55,160.29,120.51,102.6,165.67,185.75,189.45,152.54,192.92,191.38,139.75,142.42,187.34,194.04,158.64,134.56,221.79,122.19,233.96,217.46
27/10/2024 00:00,28/10/2024 00:00,204.58,223.81,215.75,172.25,266.41,222.47,166.87,,117.78,184.54,182.38,163.5,107.03,174.61,222.19,137.17,148.3,145.73,195.54,181.13,219.79,138.31,166.46,170.88,225.5,178.56,224.62,189.21,209.71,161.42,158.66,204.98,212.46,162.9,179.8,220.54,161.16,206.42,225.25
28/10/2024 00:00,29/10/2024 00:00,157.5,173.43,154.71,152.41,169.05,155.09,131.54,,85.48,154.48,136.79,126.32,93.82,132.87,160.2,115.79,123.57,116.53,161.71,143.66,153.25,100.58,148.45,130.07,169,120.43,146.38,152.79,152.38,122.46,119.58,153.48,162.67,111.57,144.36,173.96,127.31,167.92,166.5
29/10/2024 00:00,30/10/2024 00:00,173.04,162.3,186.02,132.65,183.1,146.21,104.75,,86.22,124.57,123.33,117.15,86.14,115.46,164.44,92.92,108.42,94.93,135.67,118.69,134.17,87.49,125.99,143.59,140.12,106.53,119.67,141.92,126.96,98.88,102.96,142.63,140.57,115.71,123.87,140.88,115,169.79,146
30/10/2024 00:00,31/10/2024 00:00,148.54,224.5,211.42,134.68,210.08,209.91,140.69,,117.66,156.17,170.05,145.01,74.67,134.53,214.42,124.96,112.08,117.34,151.17,153.85,167.33,130.46,130.38,142.23,171.37,161.82,146.88,166.96,196.71,130.86,130.7,221.84,201.88,150.65,154.69,199.42,118.37,218.5,215.58
31/10/2024 00:00,01/11/2024 00:00,184.86,242.08,246.92,178.78,217.74,243.73,232.5,,115.05,220.65,223.29,221.18,79.16,184.54,219.54,178.73,118.12,177.6,189.29,209.1,199.29,181.68,155.27,134.09,246.52,220.67,219.52,191.59,238.46,206.7,199.14,227.4,229.21,171.32,220.32,220,133.31,221.96,252.12
01/11/2024 00:00,02/11/2024 00:00,219.97,279.15,314.16,155.09,235.78,210.99,253.77,,126.23,214.57,227.66,182.17,109.23,198.6,230.24,255.93,181.41,225.01,210.3,217.55,213.64,185.82,132.19,149.29,297.53,251.33,240.77,248.23,252.69,203.15,219.81,252.45,281.51,163.09,248.62,249.82,139.14,286.64,312.29
02/11/2024 00:00,03/11/2024 00:00,205.88,307.43,270.57,204.15,216.5,319.7,210.63,,106.27,166.88,218.21,235.98,156.82,165.34,240.66,199.71,164.57,174.96,191.75,222.44,192.21,117.86,186.36,179.58,331.17,334.96,217.08,227.25,244,167.71,185.59,253.1,234.73,227.17,214.1,387.42,125.31,301.81,250.14
03/11/2024 00:00,04/11/2024 00:00,232.12,314.47,277.29,214.87,262.83,217.7,219.42,,104.28,257.58,262.33,215.73,115.71,205.79,256.29,186.21,142.07,181.5,230.96,218.39,278.5,114.49,243.45,209.61,282.21,215.02,255.25,261.46,281.33,204.58,187.86,255.1,291.5,216.8,215.11,244.75,131.29,279.29,266.08
04/11/2024 00:00,05/11/2024 00:00,260.23,337.88,288.67,238.04,276.83,232.55,205.57,,138.9,229.75,266.64,240.87,134.48,188.94,305.07,205.5,148.32,189.83,244.04,237.79,266.62,90.38,227.21,243.99,265.83,250.6,240.04,251.25,268,208.38,200.56,251.91,290.04,218.77,224.09,265.75,126,330.67,293.71
05/11/2024 00:00,06/11/2024 00:00,218.98,274.57,252.25,201.97,283,225.75,178.57,,181.54,217.08,209.33,190.35,119.42,167.66,268,165.58,122.91,151.72,202.62,201.36,278.29,324.16,223.52,231.68,240.58,217.88,208,227.58,234.83,169.25,173.67,235.03,259.08,206.29,194.85,234.42,108.65,250.79,271.29
06/11/2024 00:00,07/11/2024 00:00,229.75,254.62,270.96,180.44,258.12,213.59,176.5,,130.42,198.83,206.46,190.53,108.35,185.12,266.45,151.12,114.91,142.15,188.38,203.44,272.04,279.45,190.64,219.91,215.29,205.41,206.08,237.62,243.79,169.38,177.67,219.34,254.42,252.39,167.24,233.83,98.47,247.62,292.37
07/11/2024 00:00,08/11/2024 00:00,246.33,295.59,310.71,221.34,312.54,230.28,205.14,,152,261.58,238.58,212.84,104.59,205.63,291.14,201,142.92,171.9,251.79,233.92,280.99,138.75,213.91,253.16,272.75,219.77,246.29,254.04,268.38,206.04,203.63,262.97,310.21,247.52,234.97,275.38,112.06,282.21,318.89
08/11/2024 00:00,09/11/2024 00:00,237.08,264.41,242.17,198.51,282.88,208.7,196.39,,140.67,245.79,208.58,191.15,97.39,200.05,263.58,187.08,125.76,163.6,238.79,214.81,224.62,189.75,199.77,245.88,253.67,195.3,238.5,244.17,257.11,177.54,182.73,224.68,285.58,200.59,230,251.22,97.43,268.12,264.4
09/11/2024 00:00,10/11/2024 00:00,209.12,208.84,204.75,178.6,254.42,164.22,155.94,,120.56,206.79,184.5,167.29,100.49,165.23,217.06,158.57,129.11,146.42,205.88,184.73,199.29,189.71,183.08,218.66,207.75,163.65,184.08,203.08,205.08,161.79,162.64,220.37,219.92,208.04,189.66,209.06,95.48,217.92,222.14
10/11/2024 00:00,11/11/2024 00:00,196.86,208.43,208.21,160.74,254.93,188.98,148.83,,109.99,169.75,186.71,157.92,111.75,158.87,234.17,151.33,135.03,136,191.75,165.21,215.29,196.58,179,180.24,210.71,177.69,161.29,194.71,200.5,154.54,150.14,211.43,223.67,206.54,163.42,176.52,90.24,220.25,225.15
11/11/2024 00:00,12/11/2024 00:00,193.92,247.74,242.67,172.72,243.93,207.8,179.07,,152.22,169.12,203.96,172.24,119.21,185.27,235.06,148.12,106.15,138.78,193.54,176.93,253.42,228.67,206.08,198.92,213.83,213.07,179.58,210.25,240.92,146.71,156.15,205.54,269.19,214.22,173.58,211.69,89.94,229.17,269.29
12/11/2024 00:00,13/11/2024 00:00,220.17,243.75,231.29,207.41,252.09,194.89,174.81,,120.36,186.29,202.04,191.23,149.11,203.9,257.04,137.96,96.59,126.92,179.17,179.64,230.61,175.9,180.38,213.4,193.16,222.51,182.33,207.88,226.95,179.38,182.19,175.11,251.12,181.15,161.42,218.36,82.8,222.92,243.54
13/11/2024 00:00,14/11/2024 00:00,402.67,511.37,515.62,348.82,435.12,360.52,421.8,,138.22,457,441.52,398.91,280.58,401.99,469.42,331.75,39.98,286.29,443.75,398.83,461.92,359.61,418.6,427.08,446.42,411.73,401.71,502.83,453.04,382.12,354.29,443.99,445.88,364.93,418.06,493.21,202.96,501.73,475.04
14/11/2024 00:00,15/11/2024 00:00,257.53,325.63,316.38,299.29,340.34,225.28,131.4,,150.16,311.66,357.53,318.9,202.69,232.68,348.37,218.69,152.59,222.13,324.83,280.67,352.03,291.32,290.11,294.62,339.71,235.71,307.83,343.33,338.38,235.54,246.9,350.09,340.71,298.5,319.49,259.4,146.79,300.42,348.88
15/11/2024 00:00,16/11/2024 00:00,317.25,397.62,355.62,215.5,368.27,287.77,194.7,,160.88,227.44,305.88,268.13,263.38,229.96,366.75,197.25,200.07,170.39,255.96,255.6,313.54,226.06,221.55,374.26,279.29,261.03,257.17,363.92,320.58,210.07,252.89,267.49,338.75,332.99,208.57,258.83,103.23,402.38,366
16/11/2024 00:00,17/11/2024 00:00,467.62,437.37,476.38,296.52,460.62,381.36,358.89,,191.22,314.02,347.54,302.81,356.75,305.92,471.64,281.92,422.74,242.16,360.46,372.79,399,252.41,255.34,481.97,402.38,392.12,310.5,396.29,406.42,309.46,332.12,346.66,454.75,373.54,291.8,441.38,180.47,441.41,485.96
17/11/2024 00:00,18/11/2024 00:00,414.8,475.85,496.07,429.89,486.36,352.93,454.61,,182.69,428.15,513.17,451.11,359.25,466.72,449.5,376.12,None,361.23,462.88,458.72,546.25,329.56,479.25,411.05,452.88,402.7,402.71,430,475.87,412.58,421.77,417.77,464.83,388.98,421.35,420,392.82,482.11,487.04
18/11/2024 00:00,19/11/2024 00:00,609.05,672.88,677.1,555.19,605.91,552.12,517.96,,306.91,620.7,651.25,612.99,476.38,233.17,611.69,561.08,108.21,532.82,673.42,630.44,677,455.13,624.44,617.69,671.35,619.54,604.21,676.79,676.1,574.2,619.05,725.86,594.85,587.16,637.65,604.75,542.08,684.64,675.09
19/11/2024 00:00,20/11/2024 00:00,665,725,677,378.1,701,533.9,460.35,,280.63,526,526,418.5,512.4,562,720,469,None,428.32,642,606,737,351.9,477,707,594,586.04,504,737,660,489,None,616,668,511.3,511.9,664,428,795,729
